;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;6078959,6;955 329 249,4;103,18;32416,25;42,0033333333333;4349,7;96,2
 Брянская область;3767667,1;399 113 785,2;104,01;28330,75;42,1133333333333;3289;100,6
Владимирская область;6359024,99;535 493 361,4;103,07;25323;42,88;4992,1;101,3
 Воронежская область;8513725;1 001 790 281,3;103,23;31997,5;42,72;4193,6;101,5
 Ивановская область;3864156,1;254 968 880,4;103,32;25703,75;42,9966666666667;4328,6;97
Калужская область;5268057,7;549 755 818,5;103,06;31311,5;42,06;5269,8;100
 Костромская область;2416918,7;203 821 423,6;104,19;25240,25;42,08;4004,6;94,6
 Курская область;3661278,5;495 864 427,8;103,76;29108,5;42,5866666666667;3633,4;100,5
 Липецкая область;4052774,49;570 022 912,9;103,45;32468,5;42,3633333333333;4095;101,2
 Московская область;57290082,2;5 196 136 356,8;103,22;47798;40,5166666666667;8398;87,6
 Орловская область;2660076,7;266 655 649;103,76;26078,5;42,55;3962,5;99,6
 Рязанская область;5536025,6;436 417 665,1;103,68;26822,25;43,4766666666667;5614,29;97,9
 Смоленская область;3532509,29;349 237 634,9;102,72;27376,25;42,62;4197;93,5
 Тамбовская область;2704554,3;353 745 473,6;104,59;28026,75;43,8366666666667;2840,4;92,8
 Тверская область;4915407,7;488 367 456;102,64;27112,75;42,9766666666667;4081,9;93
 Тульская область;6421891,09;676 822 642,3;102,41;28438,25;43,5966666666667;5293;92,4
 Ярославская область;8003531,09;609 150 781,1;104,51;28596,75;42,4366666666667;7742,7;97,8
 Город Москва столица Российской Федерации город федерального значения;108852497,7;19 797 064 282,5;103,67;76080;41,3966666666667;10721,09;116,1
Республика Карелия;4238997,39;319 050 011,9;103,24;30754,5;41,5133333333333;6716,9;89,8
 Республика Коми;5282155,9;718 138 683,6;103,66;35220;41,9366666666667;6713,8;75,8
Ненецкий автономный округ (Архангельская область);368131,8;889 974 376,5;103,72;35606;39,52;8078,7;92,3
Архангельская область (кроме Ненецкого автономного округа);7066018,3;330 999 011,7;104,39;81301,25;41,5433333333333;7030,3;96
 Вологодская область;6174574,6;558 975 364,8;103,62;33785,75;36,2333333333333;5570,6;100,7
 Калининградская область;4008472,6;632 759 493,5;103,24;28329,75;41,78;4153,1;101,2
 Ленинградская область;12597078,8;520 951 191,3;103,42;29247,5;41,1233333333333;6828;101,7
Мурманская область;6800606,6;1 223 679 613,9;103,31;32615,75;40;10685;94,1
 Новгородская область;3078224,4;616 504 098,3;103,92;44064,75;41,78;5339,7;96,5
 Псковская область;2445813,1;273 807 999,5;103,01;26110,75;37,89;4080,3;96,1
 Город Санкт-Петербург город федерального значения;56758904,49;196 625 301,2;103,05;25453,25;42,82;12243,3;98,7
Республика Адыгея (Адыгея);714398,7;5 186 129 328,4;103,26;47534;43,14;2175,1;97,4
 Республика Калмыкия;304410;131 125 774,9;102,5;29406,25;41,64;1287,1;105,3
 Республика Крым;4045723,9;88 986 895,5;103,95;18456,25;40,8366666666667;2271;84,5
 Краснодарский край;20048033,39;475 525 339,9;103,09;22370,25;39,64;3680,1;113,3
Астраханская область;2409454,1;2 577 131 143,3;103,11;36692,5;38,1566666666667;2579,89;101,7
Волгоградская область;10291797,39;601 811 216,1;103,07;24869,25;41,3633333333333;4201,5;101,7
 Ростовская область;14333255,7;963 214 357,3;103,15;24080,5;40,48;3884,2;93,1
 Город федерального значения Севастополь;3646983,4;1 636 017 488,9;103,3;30849,25;39,0533333333333;7185,9;96,5
Республика Дагестан;2493178;137 919 357,6;103,28;30463,75;41,55;801,7;97,4
 Республика Ингушетия;105626,79;713 723 622,5;104,25;27519,5;41,3433333333333;200,1;415
Кабардино-Балкарская Республика;927334,8;73 791 541,6;103,38;16775,75;41,12;1112,7;86
 Карачаево-Черкесская Республика;519534,6;171 544 721,2;104,32;21501;35,3366666666667;1192,8;95,1
 Республика Северная Осетия-Алания;567494,4;91 430 025,1;103,37;18976,25;33,3933333333333;1019,7;81,7
Чеченская Республика;1904298,7;173 459 410,1;102,41;24479,75;31,9333333333333;1347,4;101,2
 Ставропольский край;6675423,7;241 643 396,7;103,3;24333,75;37,2466666666667;2609,9;101,3
 Республика Башкортостан;15037419,99;829 223 900,3;103,61;24429;38,6133333333333;3867,6;89,8
 Республика Марий Эл;2400034,7;1 803 321 697,6;103,51;30554,25;38,4366666666667;3524,3;107,8
 Республика Мордовия;2936397,2;203 282 130,7;103,45;20862,75;28,87;3935,6;105,8
 Республика Татарстан (Татарстан);17104883,59;262 760 569,9;102,36;19681,75;39,62;4756,1;87,2
 Удмуртская Республика;5567922,3;2 808 753 275,1;103,15;35752,25;40,8866666666667;4092,4;87,8
 Чувашская Республика - Чувашия;4748419,4;722 845 998,6;102,75;25012,75;39,4;4142;98,6
 Кировская область;5403140,8;339 490 413,5;102,64;20115,75;39,9666666666667;4649,7;95,2
 Нижегородская область;19609558,8;1 496 401 415;103,48;30550,5;42,9433333333333;6870,7;93,4
Оренбургская область;7853861,9;370 472 632,8;102,88;23593,5;40,2733333333333;4130,2;92,1
 Пензенская область;4018048,8;1 617 171 682,6;103,35;33812,75;39,5366666666667;3931,3;87,6
Самарская область;17528457,2;1 106 329 322,9;103,02;24458,75;40,6733333333333;6011,1;90,1
Саратовская область;6692440,7;448 521 114;102,91;22880,5;39,4666666666667;2995,39;106,1
 Ульяновская область;6390721,2;1 689 575 399,2;103,42;29405,5;42,8666666666667;5335,4;98,2
 Курганская область;1961296,7;809 822 627,1;102,9;22671,75;42,1733333333333;2515,79;83,4
Свердловская область;32480687,1;424 995 591;103,38;23627,5;39,8033333333333;9003,79;103,2
Тюменская область;29548961,8;236 825 785;103,79;21208;43,1766666666667;8064,6;99,9
 Ханты-Мансийский автономный округ - Югра (Тюменская область);15923126,3;2 535 215 024,4;104,08;39072,75;41,4466666666667;9921,6;100,3
Ямало-Ненецкий автономный округ (Тюменская область);4838629,8;8 952 460 437;102,55;49146,5;41,9433333333333;8587,79;96,3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);8787205,69;4 558 879 763,6;102,26;53667,5;42,9066666666667;5845,7;101,3
 Челябинская область;19234027,99;3 158 827 619,5;101,08;84503,5;39,1966666666667;6049,2;102,5
Республика Алтай;308040,8;1 234 753 053,9;103,53;31587,25;41,7033333333333;1397,6;105
Республика Тыва;311327;1 547 518 039,7;103,2;25398;40,2766666666667;969;93,3
 Республика Хакасия;1975021,79;57 063 978,8;101,74;20317,25;36,52;3894,4;104,9
 Алтайский край;6758986,8;79 321 311,4;103,41;16694;35,7133333333333;3048,2;97,4
Красноярский край;19361813,59;256 322 293,9;103,92;22650,25;33,5566666666667;7072,29;99,3
Иркутская область;10821082,9;628 146 106,3;103,57;23912,25;37,7566666666667;4818;94,8
Кемеровская область - Кузбасс;13239707,3;2 696 158 902,9;104,08;31711,75;40,0233333333333;5417,5;103,1
Новосибирская область;16970758,89;1 540 237 816,6;104,47;26318,5;39,1933333333333;5536,9;98,7
Омская область;8549133,8;1 110 194 803,6;104,39;24813,5;34,5066666666667;4718,8;96,1
 Томская область;6613906,1;1 332 895 765,9;103,51;30592,25;29,86;5031,69;125,5
Республика Бурятия;2361251,29;772 095 892,9;103,86;26848,25;38,3233333333333;2260,59;90,5
 Забайкальский край;4064880,49;617 903 638,3;104,29;28404,75;40,81;4280,09;96,9
 Республика Саха (Якутия);4501032,89;285 490 577,1;104,6;25336,75;39,0266666666667;5248,2;94,9
Камчатский край;2636779,3;369 476 546,2;104,09;25676,25;37,62;8015,2;99
Приморский край;9457967,6;1 227 680 260;104,32;45645;40,2033333333333;5714,9;86,2
 Хабаровский край;8708308,6;279 337 843,3;102,81;52531,5;39,9;10213,79;93,2
 Амурская область;3852319,6;1 069 330 650;103,13;36818;39,7133333333333;5051,79;93,2
 Магаданская область;1113061,1;805 215 557,6;104,26;41368,75;38,9733333333333;8749,19;85,6
Сахалинская область;3400104;395 617 226;104,87;33237,75;37,8366666666667;7298,1;96,5
 Еврейская автономная область;717072,2;214 414 925,9;102,61;65116;36,0766666666667;4885,29;100,5
Чукотский автономный округ;646977,6;1 172 226 053,8;103,42;58932,5;34,8166666666667;13921,59;100,9